VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,Mouse,Group,tSNE1,tSNE2,Cluster
76.34,14.24,60.31,0.187,0.236,0.790,3.17,9.69,KO_01,KO,1.374,3.863,4
91.26,50.97,65.35,0.558,0.780,0.716,5.31,4.83,KO_01,KO,1.299,3.079,2
93.76,58.61,80.97,0.625,0.724,0.864,4.16,3.31,KO_01,KO,3.411,0.274,3
51.91,51.91,51.91,1.000,1.000,1.000,2.60,7.48,KO_01,KO,2.423,0.502,4
61.63,43.39,61.63,0.704,0.704,1.000,5.96,5.17,KO_01,KO,-1.155,0.272,2
88.62,48.94,59.67,0.552,0.820,0.673,3.73,6.68,KO_01,KO,5.731,1.621,3
80.95,67.25,72.32,0.831,0.930,0.893,5.96,8.15,KO_01,KO,3.499,0.138,4
65.50,38.88,58.58,0.594,0.664,0.894,5.38,3.41,KO_01,KO,-0.484,2.266,2
63.31,51.58,51.58,0.815,1.000,0.815,4.70,6.33,KO_01,KO,3.447,3.675,3
93.14,38.10,60.20,0.409,0.633,0.646,5.98,4.07,KO_01,KO,0.691,3.814,4
69.25,38.43,69.25,0.555,0.555,1.000,5.47,4.46,KO_01,KO,2.389,1.397,2
112.75,28.41,61.56,0.252,0.462,0.546,4.92,6.26,KO_01,KO,-0.109,1.551,3
71.70,31.94,61.34,0.445,0.521,0.855,4.32,6.65,KO_01,KO,4.343,2.502,4
89.59,40.61,72.51,0.453,0.560,0.809,4.38,6.77,KO_01,KO,4.024,0.797,2
108.74,41.89,71.52,0.385,0.586,0.658,6.55,5.94,KO_01,KO,2.137,0.058,3
97.08,33.67,80.49,0.347,0.418,0.829,6.36,2.69,KO_01,KO,3.482,1.696,4
141.94,31.51,85.45,0.222,0.369,0.602,6.25,6.47,KO_01,KO,1.585,2.196,2
48.64,4.14,32.35,0.085,0.128,0.665,4.19,7.31,KO_01,KO,2.051,0.743,3
88.19,51.55,58.11,0.585,0.887,0.659,4.79,2.85,KO_01,KO,4.865,4.161,4
89.64,30.73,50.34,0.343,0.610,0.562,5.84,4.53,KO_01,KO,2.201,2.261,2
76.33,60.96,75.39,0.799,0.809,0.988,6.12,7.59,KO_01,KO,-0.235,2.125,3
115.98,22.30,71.29,0.192,0.313,0.615,5.30,6.64,KO_01,KO,3.230,1.568,4
51.66,51.66,51.66,1.000,1.000,1.000,3.42,7.12,KO_01,KO,2.733,2.300,2
64.69,32.46,51.44,0.502,0.631,0.795,6.54,3.50,KO_01,KO,4.019,1.079,3
76.08,56.19,69.01,0.739,0.814,0.907,3.84,7.77,KO_01,KO,6.173,0.965,4
126.53,46.99,79.72,0.371,0.589,0.630,4.27,3.15,KO_01,KO,3.266,1.838,2
74.36,74.36,74.36,1.000,1.000,1.000,5.74,7.38,KO_01,KO,3.886,3.275,3
102.85,34.16,69.38,0.332,0.492,0.675,7.67,6.24,KO_01,KO,1.477,2.979,4
80.75,45.50,65.83,0.563,0.691,0.815,4.37,5.88,KO_01,KO,0.010,3.709,2
99.33,0.00,58.14,0.000,0.000,0.585,5.57,6.87,KO_01,KO,2.759,0.445,3
73.25,48.16,73.25,0.658,0.658,1.000,5.70,8.02,KO_01,KO,2.286,0.268,4
86.57,42.89,67.92,0.495,0.631,0.785,5.94,3.94,KO_01,KO,0.751,4.406,2
60.32,59.21,59.21,0.982,1.000,0.982,5.22,6.25,KO_01,KO,0.553,0.752,3
112.49,55.07,85.05,0.490,0.648,0.756,6.59,9.67,KO_01,KO,3.168,3.423,4
84.69,44.80,51.54,0.529,0.869,0.609,2.49,5.65,KO_01,KO,2.139,2.440,2
124.44,41.79,101.92,0.336,0.410,0.819,6.50,5.99,KO_01,KO,3.013,3.454,3
89.73,46.13,74.59,0.514,0.618,0.831,5.98,6.44,KO_01,KO,0.273,1.909,4
64.63,53.59,60.77,0.829,0.882,0.940,6.33,5.14,KO_01,KO,0.357,2.864,2
71.81,51.33,56.19,0.715,0.914,0.782,4.66,7.20,KO_01,KO,4.842,0.342,3
80.31,32.25,61.43,0.402,0.525,0.765,5.05,10.83,KO_01,KO,2.154,1.132,4
56.64,43.00,56.64,0.759,0.759,1.000,7.29,4.75,KO_01,KO,1.795,1.939,2
86.34,37.03,52.14,0.429,0.710,0.604,5.13,7.92,KO_01,KO,4.016,0.390,3
73.40,45.38,58.39,0.618,0.777,0.795,4.03,1.67,KO_01,KO,5.246,1.842,4
68.03,47.06,62.78,0.692,0.750,0.923,5.64,5.27,KO_01,KO,-0.726,1.723,2
118.92,24.26,71.15,0.204,0.341,0.598,5.85,2.62,KO_01,KO,2.029,0.867,3
63.21,55.55,55.55,0.879,1.000,0.879,4.00,8.14,KO_01,KO,4.370,-0.293,4
90.76,55.54,79.17,0.612,0.702,0.872,4.85,7.63,KO_01,KO,4.001,3.640,2
66.23,29.31,44.65,0.443,0.657,0.674,7.32,5.63,KO_01,KO,4.192,1.503,3
103.87,38.35,82.36,0.369,0.466,0.793,3.07,8.13,KO_01,KO,2.913,0.357,4
58.89,11.89,49.44,0.202,0.241,0.839,4.82,6.20,KO_01,KO,2.861,1.813,2
80.15,31.39,53.91,0.392,0.582,0.673,5.02,4.75,KO_01,KO,3.138,-0.210,3
133.21,25.89,63.61,0.194,0.407,0.478,5.02,4.58,KO_01,KO,2.620,3.368,4
87.68,17.91,40.43,0.204,0.443,0.461,4.42,5.31,KO_01,KO,6.224,0.426,2
103.38,38.85,63.69,0.376,0.610,0.616,6.33,4.55,KO_01,KO,2.556,2.200,3
111.62,19.12,58.58,0.171,0.326,0.525,2.54,8.11,KO_01,KO,2.824,1.213,4
85.37,38.00,61.10,0.445,0.622,0.716,3.67,6.93,KO_01,KO,2.515,2.450,2
53.15,24.08,29.97,0.453,0.804,0.564,3.97,6.80,KO_01,KO,2.138,2.607,3
40.86,35.48,35.48,0.868,1.000,0.868,5.04,5.39,KO_01,KO,1.366,3.320,4
85.81,52.88,60.25,0.616,0.878,0.702,4.39,6.20,KO_01,KO,1.142,3.343,2
57.51,27.41,53.17,0.477,0.515,0.925,5.81,6.58,KO_01,KO,1.075,3.770,3
95.05,31.49,52.65,0.331,0.598,0.554,3.06,5.48,KO_02,KO,1.194,2.587,3
75.66,35.47,63.81,0.469,0.556,0.843,7.80,6.13,KO_02,KO,2.455,0.854,4
52.99,27.47,32.46,0.518,0.846,0.613,4.75,5.69,KO_02,KO,3.826,0.775,2
78.14,52.38,62.96,0.670,0.832,0.806,5.00,5.07,KO_02,KO,2.119,0.934,3
121.95,54.46,94.01,0.447,0.579,0.771,5.45,4.95,KO_02,KO,1.812,2.010,4
86.64,34.63,68.24,0.400,0.507,0.788,5.79,8.46,KO_02,KO,3.144,1.802,2
57.98,57.98,57.98,1.000,1.000,1.000,3.70,9.16,KO_02,KO,3.422,1.559,3
45.81,30.56,42.23,0.667,0.724,0.922,3.12,5.88,KO_02,KO,1.131,-0.711,4
68.25,44.33,48.94,0.650,0.906,0.717,4.65,5.74,KO_02,KO,2.063,2.896,2
85.06,14.93,48.60,0.175,0.307,0.571,4.90,3.40,KO_02,KO,4.754,0.876,3
78.62,23.73,58.63,0.302,0.405,0.746,4.36,5.29,KO_02,KO,1.722,1.936,4
73.03,41.83,54.98,0.573,0.761,0.753,6.02,5.58,KO_02,KO,3.026,3.335,2
54.49,52.24,52.24,0.959,1.000,0.959,5.36,4.87,KO_02,KO,4.027,2.957,3
94.50,43.12,50.69,0.456,0.851,0.536,3.72,7.29,KO_02,KO,2.818,1.535,4
98.45,48.84,73.60,0.496,0.664,0.748,4.72,4.24,KO_02,KO,3.099,2.097,2
95.14,36.33,53.35,0.382,0.681,0.561,4.25,6.02,KO_02,KO,2.002,0.596,3
57.04,25.28,55.64,0.443,0.454,0.975,6.07,6.66,KO_02,KO,4.776,1.416,4
114.58,45.76,86.48,0.399,0.529,0.755,4.66,5.95,KO_02,KO,2.675,-1.506,2
51.11,18.75,51.11,0.367,0.367,1.000,6.58,4.40,KO_02,KO,2.713,2.841,3
71.50,27.56,67.54,0.385,0.408,0.945,4.10,5.77,KO_02,KO,1.061,4.748,4
74.53,18.53,56.44,0.249,0.328,0.757,5.62,5.21,KO_02,KO,2.031,2.139,2
97.65,36.41,54.66,0.373,0.666,0.560,7.07,3.20,KO_02,KO,3.747,3.149,3
96.98,41.93,69.16,0.432,0.606,0.713,4.72,5.96,KO_02,KO,3.368,0.225,4
116.44,28.94,65.05,0.249,0.445,0.559,4.99,6.21,KO_02,KO,1.957,1.407,2
72.47,32.90,65.82,0.454,0.500,0.908,4.07,3.68,KO_02,KO,3.332,3.060,3
11.78,11.78,11.78,1.000,1.000,1.000,4.89,5.07,KO_02,KO,1.331,-2.812,4
47.93,47.93,47.93,1.000,1.000,1.000,3.27,6.17,KO_02,KO,1.576,0.383,2
102.84,22.58,75.42,0.220,0.299,0.733,4.84,2.48,KO_02,KO,3.739,1.157,3
27.37,17.24,25.40,0.630,0.679,0.928,4.95,3.21,KO_02,KO,3.509,-0.664,4
76.09,28.27,50.66,0.372,0.558,0.666,5.17,5.80,KO_02,KO,2.070,-0.297,2
141.85,22.90,81.60,0.161,0.281,0.575,5.15,4.53,KO_02,KO,3.691,2.163,3
84.41,42.41,82.69,0.502,0.513,0.980,4.27,3.30,KO_02,KO,3.502,-0.117,4
89.14,41.55,41.55,0.466,1.000,0.466,6.01,6.19,KO_02,KO,1.475,3.629,2
90.67,36.98,67.64,0.408,0.547,0.746,4.61,4.72,KO_02,KO,3.268,0.852,3
46.33,38.81,38.81,0.838,1.000,0.838,2.71,4.47,KO_02,KO,2.657,-0.260,4
73.50,23.87,45.66,0.325,0.523,0.621,3.65,7.61,KO_02,KO,2.527,2.531,2
117.94,44.80,88.05,0.380,0.509,0.747,6.30,6.10,KO_02,KO,1.550,2.506,3
62.45,43.28,62.45,0.693,0.693,1.000,5.75,5.34,KO_02,KO,2.849,1.137,4
97.74,49.31,80.68,0.505,0.611,0.825,4.12,5.80,KO_02,KO,1.886,3.881,2
84.08,16.52,57.92,0.196,0.285,0.689,5.05,7.34,KO_02,KO,1.554,3.320,3
40.19,25.09,25.09,0.624,1.000,0.624,5.16,5.13,KO_02,KO,2.509,2.940,4
89.55,40.17,70.86,0.449,0.567,0.791,4.88,8.69,KO_02,KO,1.659,1.404,2
94.80,31.01,60.45,0.327,0.513,0.638,4.25,6.06,KO_02,KO,3.553,1.261,3
71.29,49.13,51.97,0.689,0.945,0.729,7.89,5.27,KO_02,KO,0.943,3.108,4
171.51,11.41,106.11,0.067,0.107,0.619,7.04,4.60,KO_02,KO,-0.156,2.220,2
55.32,39.77,47.58,0.719,0.836,0.860,3.91,8.84,KO_02,KO,1.592,-1.928,3
61.16,55.23,57.20,0.903,0.966,0.935,5.48,7.68,KO_02,KO,2.631,1.653,4
60.28,36.01,53.26,0.597,0.676,0.884,5.62,8.82,KO_02,KO,0.951,1.090,2
58.89,41.87,58.89,0.711,0.711,1.000,4.56,5.72,KO_02,KO,3.084,1.359,3
97.37,54.89,58.31,0.564,0.941,0.599,5.58,4.99,KO_02,KO,1.687,0.573,4
72.62,56.51,69.24,0.778,0.816,0.953,2.78,4.88,KO_02,KO,3.293,2.196,2
88.11,51.90,67.86,0.589,0.765,0.770,7.35,5.62,KO_02,KO,2.242,2.208,3
98.92,49.58,69.36,0.501,0.715,0.701,2.99,5.91,KO_02,KO,-0.063,1.723,4
69.85,33.00,56.32,0.472,0.586,0.806,3.33,7.02,KO_02,KO,2.614,1.463,2
124.49,19.57,101.55,0.157,0.193,0.816,4.27,5.40,KO_02,KO,2.427,1.766,3
61.81,20.93,42.30,0.339,0.495,0.684,5.35,3.53,KO_02,KO,1.428,1.595,4
91.16,33.16,60.81,0.364,0.545,0.667,4.41,4.98,KO_02,KO,3.120,1.427,2
87.48,10.96,39.26,0.125,0.279,0.449,4.81,5.78,KO_02,KO,2.114,0.645,3
104.38,5.19,50.68,0.050,0.102,0.486,5.65,5.48,KO_02,KO,1.898,1.823,4
51.33,39.20,47.62,0.764,0.823,0.928,6.05,9.08,KO_02,KO,4.447,3.123,2
72.08,52.99,64.99,0.735,0.815,0.902,1.60,7.12,KO_02,KO,3.499,1.084,3
113.18,49.28,67.80,0.435,0.727,0.599,4.85,4.85,KO_02,KO,2.071,0.865,4
47.81,22.01,43.07,0.460,0.511,0.901,2.92,5.42,KO_02,KO,1.515,-0.151,2
90.01,59.77,75.25,0.664,0.794,0.836,3.67,4.40,KO_02,KO,1.600,1.627,3
89.44,44.68,76.84,0.500,0.581,0.859,6.03,5.96,KO_02,KO,0.344,2.664,4
67.47,62.67,62.67,0.929,1.000,0.929,6.81,7.94,KO_02,KO,1.375,1.867,2
89.55,60.36,89.55,0.674,0.674,1.000,3.26,8.13,KO_02,KO,1.730,3.437,3
46.92,46.92,46.92,1.000,1.000,1.000,4.14,6.59,KO_02,KO,3.012,2.034,4
96.45,42.99,68.86,0.446,0.624,0.714,5.83,3.71,KO_02,KO,1.329,1.932,2
118.52,13.73,72.10,0.116,0.190,0.608,4.57,6.29,KO_02,KO,0.579,2.555,3
37.39,37.39,37.39,1.000,1.000,1.000,4.61,6.29,KO_02,KO,2.094,-0.282,4
109.41,15.68,61.70,0.143,0.254,0.564,5.52,5.52,KO_02,KO,1.384,0.269,2
53.78,31.83,45.76,0.592,0.696,0.851,3.73,1.00,KO_02,KO,2.756,0.428,3
79.55,14.18,60.89,0.178,0.233,0.765,5.78,8.34,KO_02,KO,1.286,1.787,4
80.14,48.71,67.78,0.608,0.719,0.846,6.30,4.06,KO_02,KO,2.963,3.752,2
57.99,31.18,57.99,0.538,0.538,1.000,5.47,3.44,KO_02,KO,1.426,1.352,3
114.35,28.17,77.43,0.246,0.364,0.677,5.16,3.58,KO_02,KO,2.603,2.673,4
118.60,41.44,96.85,0.349,0.428,0.817,6.15,7.22,KO_02,KO,-1.221,0.554,2
72.14,29.80,59.07,0.413,0.505,0.819,5.19,8.10,KO_02,KO,0.363,0.559,3
114.60,29.18,57.49,0.255,0.508,0.502,5.83,1.00,KO_02,KO,2.436,2.787,4
83.61,18.35,50.69,0.220,0.362,0.606,4.79,8.98,KO_02,KO,1.262,-0.313,2
67.90,55.67,67.90,0.820,0.820,1.000,5.54,8.24,KO_02,KO,1.988,0.085,3
77.85,25.31,73.99,0.325,0.342,0.950,4.57,7.53,KO_02,KO,1.614,0.694,4
104.85,7.63,57.18,0.073,0.133,0.545,4.91,5.69,KO_02,KO,1.351,3.085,2
41.15,41.15,41.15,1.000,1.000,1.000,5.45,9.47,KO_02,KO,2.804,3.937,3
87.45,40.69,46.41,0.465,0.877,0.531,4.79,6.51,KO_02,KO,2.534,0.494,4
86.40,17.34,45.29,0.201,0.383,0.524,3.77,4.21,KO_02,KO,5.248,2.345,2
75.78,27.84,48.63,0.367,0.572,0.642,5.41,6.28,KO_02,KO,1.404,0.888,3
106.98,47.29,75.28,0.442,0.628,0.704,3.11,6.74,KO_02,KO,3.330,1.748,4
128.88,15.12,74.38,0.117,0.203,0.577,5.73,4.01,KO_02,KO,1.813,3.768,2
40.32,40.32,40.32,1.000,1.000,1.000,4.91,8.56,KO_02,KO,3.067,1.726,3
59.83,37.41,54.03,0.625,0.692,0.903,4.53,5.53,KO_02,KO,2.818,0.779,4
110.10,44.51,92.77,0.404,0.480,0.843,5.05,9.53,KO_02,KO,4.645,1.343,2
26.24,13.31,24.67,0.507,0.540,0.940,5.77,8.61,KO_02,KO,3.161,1.887,3
81.56,37.69,68.54,0.462,0.550,0.840,5.11,8.34,KO_02,KO,3.174,1.606,4
69.07,45.26,61.34,0.655,0.738,0.888,3.64,8.15,KO_02,KO,2.671,3.719,2
80.72,46.55,71.11,0.577,0.655,0.881,4.55,5.60,KO_02,KO,0.078,1.447,3
93.79,47.36,93.79,0.505,0.505,1.000,6.37,4.15,KO_02,KO,-0.068,1.812,4
103.94,21.95,63.74,0.211,0.344,0.613,5.05,6.83,KO_02,KO,0.943,3.081,2
60.26,59.24,60.26,0.983,0.983,1.000,2.67,2.02,KO_02,KO,2.072,-0.939,3
